team_name,goals,tacklesWon,blocks,totalPasses
Arsenal,9.0,0.0,17.0,0.0
Aston Villa,0.0,0.0,20.0,0.0
Bournemouth,6.0,48.0,0.0,0.0
Brentford,6.0,0.0,25.0,0.0
Brighton,6.0,63.0,0.0,0.0
Burnley,0.0,0.0,31.0,0.0
Chelsea,10.0,50.0,0.0,2759.0
Crystal Palace,6.0,62.0,15.0,0.0
Everton,0.0,60.0,28.0,0.0
Fulham,6.0,53.0,15.0,2164.0
Leeds,0.0,57.0,0.0,1989.0
Liverpool,11.0,0.0,16.0,2541.0
Man City,8.0,0.0,0.0,2083.0
Man United,0.0,62.0,0.0,2252.0
Nott'm Forest,0.0,0.0,0.0,2509.0
Tottenham,10.0,54.0,0.0,2376.0
West Ham,0.0,0.0,18.0,2087.0
Wolves,0.0,66.0,18.0,2075.0
