Team,Manager,StartDate,TenureDays
AFC Bournemouth,Andoni Iraola,2023-07-01,802
Arsenal,Mikel Arteta,2019-12-22,2089
Aston Villa,Unai Emery,2022-11-05,1040
Brentford,Keith Andrews,2025-06-27,75
Brighton and Hove Albion,Fabian Hurzeler,2024-06-15,452
Burnley,Scott Parker,2024-07-05,432
Chelsea,Enzo Maresca,2024-06-03,464
Crystal Palace,Oliver Glasner,2024-02-20,568
Everton,David Moyes,2025-01-11,242
Fulham,Marco Silva,2021-07-01,1532
Leeds United,Daniel Farke,2023-07-04,799
Liverpool,Arne Slot,2024-06-01,466
Manchester City,Pep Guardiola,2016-07-01,3358
Manchester United,Ruben Amorim,2024-11-11,303
Newcastle United,Eddie Howe,2021-11-08,1402
Nottingham Forest,Nuno Espirito Santo,2023-12-20,630
Sunderland,Regis Le Bris,2024-07-01,436
Tottenham Hotspur,Thomas Frank,2025-06-12,90
West Ham United,Graham Potter,2025-01-09,244
Wolverhampton Wanderers,Vitor Pereira,2024-12-19,265
