team_name,p_goals,p_assists,p_totalPasses,p_cleanSheets
Arsenal,2.0,2.0,0.0,2.0
Aston Villa,0.0,0.0,0.0,1.0
Bournemouth,2.0,0.0,0.0,2.0
Brentford,2.0,0.0,0.0,0.0
Brighton,0.0,0.0,441.0,0.0
Burnley,2.0,0.0,0.0,1.0
Chelsea,4.0,3.0,403.0,2.0
Crystal Palace,0.0,0.0,0.0,2.0
Everton,2.0,4.0,0.0,0.0
Leeds,0.0,0.0,0.0,2.0
Liverpool,2.0,3.0,217.0,0.0
Man City,3.0,0.0,214.0,0.0
Newcastle,0.0,0.0,0.0,2.0
Nott'm Forest,2.0,0.0,448.0,0.0
Sunderland,0.0,2.0,212.0,1.0
Tottenham,0.0,2.0,199.0,2.0
West Ham,0.0,2.0,0.0,0.0
