ExpPos,Pos,Team,Pl,W,D,L,GF,GA,GD,Pts,ExpPts,expW,expD,expL,Pts_pred,W_pred,D_pred,L_pred,Pts_pred_round,W_pred_round,D_pred_round,L_pred_round
1,1,Liverpool,3,3,0,0,8,4,4,9,74.8926044749843,22.06771752587172,8.689451897369139,4.242830576759142,83.8926044749843,25.06771752587172,8.689451897369139,4.242830576759142,84,25,9,4
2,3,Arsenal,3,2,0,1,6,1,5,6,71.92602096671689,21.276147575123524,8.097578241346316,5.626274183530156,77.92602096671689,23.276147575123524,8.097578241346316,6.626274183530156,78,23,8,7
3,2,Chelsea,3,2,1,0,7,1,6,7,64.89278746715948,18.740415721032406,8.671540304062265,7.588043974905333,71.89278746715948,20.740415721032406,9.671540304062265,7.588043974905333,72,21,10,8
4,13,Manchester City,3,1,0,2,5,4,1,3,62.16329941588767,18.094637464436317,7.8793870225787135,9.025975512984967,65.16329941588768,19.094637464436317,7.8793870225787135,11.025975512984967,65,19,8,11
5,8,Crystal Palace,3,1,2,0,4,1,3,5,55.57113318888915,15.615952418034162,8.723275934786676,10.660771647179168,60.57113318888915,16.615952418034162,10.723275934786676,10.660771647179168,61,17,11,11
6,19,Aston Villa,3,0,1,2,0,4,-4,1,57.829936390481826,16.43004966631219,8.539787391545268,10.030162942142546,58.829936390481826,16.43004966631219,9.539787391545268,12.030162942142546,59,16,10,12
7,5,Everton,3,2,0,1,5,3,2,6,49.125790747936676,13.302984053060415,9.216838588755444,12.480177358184152,55.125790747936676,15.302984053060415,9.216838588755444,13.480177358184152,55,15,9,13
8,17,Newcastle United,3,0,2,1,2,3,-1,2,52.336013843922714,14.69919048996828,8.238442374017879,12.062367136013838,54.336013843922714,14.69919048996828,10.238442374017879,13.062367136013838,54,15,10,13
9,7,AFC Bournemouth,3,2,0,1,4,4,0,6,46.87304940584952,12.745438626606497,8.63673352603003,13.617827847363476,52.87304940584952,14.745438626606497,8.63673352603003,14.617827847363476,53,15,9,15
10,15,Brentford,3,1,0,2,3,5,-2,3,49.78909555175221,13.652362471145436,8.832008138315905,12.51562939053866,52.78909555175221,14.652362471145436,8.832008138315905,14.51562939053866,53,15,9,15
11,11,Brighton and Hove Albion,3,1,1,1,3,4,-1,4,48.385421641346795,13.211255867880489,8.751654037705334,13.037090094414173,52.385421641346795,14.211255867880489,9.751654037705334,14.037090094414173,52,14,10,14
12,10,Nottingham Forest,3,1,1,1,4,5,-1,4,44.32346115866998,11.864267400448497,8.730658957324497,14.405073642227011,48.32346115866998,12.864267400448497,9.730658957324497,15.405073642227011,48,13,10,15
13,18,Fulham,3,0,2,1,2,4,-2,2,45.38586984411781,12.170854842905513,8.873305315401279,13.955839841693216,47.38586984411781,12.170854842905513,10.873305315401279,14.955839841693216,47,12,11,15
14,4,Tottenham Hotspur,3,2,0,1,5,1,4,6,37.022066137901284,9.39728247230232,8.830218720994319,16.77249880670336,43.022066137901284,11.39728247230232,8.830218720994319,17.77249880670336,43,11,9,18
15,9,Manchester United,3,1,1,1,4,4,0,4,38.08762291338173,9.718900461907744,8.930921527658493,16.350178010433766,42.08762291338173,10.718900461907744,9.930921527658493,17.350178010433766,42,11,10,17
16,16,West Ham United,3,1,0,2,4,8,-4,3,38.034869187513785,9.694907639551113,8.950146268860456,16.354946091588435,41.034869187513785,10.694907639551113,8.950146268860456,18.354946091588435,41,11,9,18
17,12,Leeds United,3,1,1,1,1,5,-4,4,31.88359281490965,7.7213978889350345,8.719399148104548,18.559202962960413,35.88359281490965,8.721397888935034,9.719399148104548,19.559202962960413,36,9,10,20
18,6,Sunderland,3,2,0,1,5,3,2,6,29.597932620905677,7.123879255411198,8.226294854672082,19.649825889916723,35.59793262090568,9.123879255411197,8.226294854672082,20.649825889916723,36,9,8,21
19,20,Wolverhampton Wanderers,3,0,0,3,2,8,-6,0,34.514825649604205,8.549689837663074,8.865756136614984,17.58455402572195,34.514825649604205,8.549689837663074,8.865756136614984,20.58455402572195,35,9,9,21
20,14,Burnley,3,1,0,2,4,6,-2,3,30.849303328267606,7.407365071603056,8.627208113458444,18.9654268149385,33.84930332826761,8.407365071603056,8.627208113458444,20.9654268149385,34,8,9,21
