Rank,Player,Position,Nat,Age,Club,ValueEUR
1,Erling Haaland,Centre-Forward,Norway,25,Manchester City,"€ 180,000,000.00"
2,Bukayo Saka,Right Winger,England / Nigeria,24,Arsenal,"€ 150,000,000.00"
3,Florian Wirtz,Attacking Midfield,Germany,22,Liverpool,"€ 140,000,000.00"
4,Declan Rice,Central Midfield,England / Ireland,26,Arsenal,"€ 120,000,000.00"
5,Cole Palmer,Attacking Midfield,England / St. Kitts & Nevis,23,Chelsea,"€ 120,000,000.00"
6,Alexander Isak,Centre-Forward,Sweden / Eritrea,26,Liverpool,"€ 120,000,000.00"
7,Rodri,Defensive Midfield,Spain,29,Manchester City,"€ 110,000,000.00"
8,Phil Foden,Right Winger,England,25,Manchester City,"€ 100,000,000.00"
9,Alexis Mac Allister,Central Midfield,Argentina / Italy,26,Liverpool,"€ 100,000,000.00"
10,Moisés Caicedo,Defensive Midfield,Ecuador,23,Chelsea,"€ 90,000,000.00"
11,Martin Ødegaard,Attacking Midfield,Norway,26,Arsenal,"€ 85,000,000.00"
12,William Saliba,Centre-Back,France / Cameroon,24,Arsenal,"€ 80,000,000.00"
13,Dominik Szoboszlai,Attacking Midfield,Hungary,24,Liverpool,"€ 80,000,000.00"
14,Bruno Guimarães,Defensive Midfield,Brazil / Spain,27,Newcastle United,"€ 80,000,000.00"
15,Viktor Gyökeres,Centre-Forward,Sweden / Hungary,27,Arsenal,"€ 75,000,000.00"
16,Gabriel Magalhães,Centre-Back,Brazil,27,Arsenal,"€ 75,000,000.00"
17,Ryan Gravenberch,Defensive Midfield,Netherlands / Suriname,23,Liverpool,"€ 75,000,000.00"
18,Hugo Ekitiké,Centre-Forward,France / Cameroon,23,Liverpool,"€ 75,000,000.00"
19,Omar Marmoush,Centre-Forward,Egypt / Canada,26,Manchester City,"€ 75,000,000.00"
20,Enzo Fernández,Central Midfield,Argentina,24,Chelsea,"€ 75,000,000.00"
21,Josko Gvardiol,Centre-Back,Croatia,23,Manchester City,"€ 75,000,000.00"
22,Benjamin Sesko,Centre-Forward,Slovenia,22,Manchester United,"€ 70,000,000.00"
23,Cody Gakpo,Left Winger,Netherlands / Togo,26,Liverpool,"€ 70,000,000.00"
24,Xavi Simons,Attacking Midfield,Netherlands / Suriname,22,Tottenham Hotspur,"€ 70,000,000.00"
25,Rúben Dias,Centre-Back,Portugal,28,Manchester City,"€ 65,000,000.00"
26,Rúben Dias,Centre-Back,Portugal,28,Manchester City,"€ 65,000,000.00"
27,Anthony Gordon,Left Winger,England,24,Newcastle United,"€ 65,000,000.00"
28,Tijjani Reijnders,Central Midfield,Netherlands,27,Manchester City,"€ 60,000,000.00"
29,Martín Zubimendi,Defensive Midfield,Spain,26,Arsenal,"€ 60,000,000.00"
30,Ibrahima Konaté,Centre-Back,France / Mali,26,Liverpool,"€ 60,000,000.00"
31,Matheus Cunha,Second Striker,Brazil,26,Manchester United,"€ 60,000,000.00"
32,Sandro Tonali,Central Midfield,Italy,25,Newcastle United,"€ 60,000,000.00"
33,Estêvão,Right Winger,Brazil,18,Chelsea,"€ 60,000,000.00"
34,Jurriën Timber,Right-Back,Netherlands / Curacao,24,Arsenal,"€ 55,000,000.00"
35,Eberechi Eze,Attacking Midfield,England / Nigeria,27,Arsenal,"€ 55,000,000.00"
36,Gabriel Martinelli,Left Winger,Brazil / Italy,24,Arsenal,"€ 55,000,000.00"
37,Ethan Nwaneri,Attacking Midfield,England / Nigeria,18,Arsenal,"€ 55,000,000.00"
38,Bryan Mbeumo,Right Winger,Cameroon / France,26,Manchester United,"€ 55,000,000.00"
39,Morgan Rogers,Attacking Midfield,England,23,Aston Villa,"€ 55,000,000.00"
