Team,Player,Direction,Age,Position,Market Value,Left/Joined,Club that left/joined,Fee
Arsenal FCArray,Martín Zubimendi,In,26,Defensive Midfield,€60.00m,Left,Real Sociedad,€70.00m
Arsenal FCArray,Eberechi Eze,In,27,Attacking Midfield,€55.00m,Left,Crystal Palace,€69.30m
Arsenal FCArray,Viktor Gyökeres,In,27,Centre-Forward,€75.00m,Left,Sporting CP,€65.80m
Arsenal FCArray,Noni Madueke,In,23,Right Winger,€40.00m,Left,Chelsea FC,€56.00m
Arsenal FCArray,Cristhian Mosquera,In,21,Centre-Back,€30.00m,Left,Valencia CF,€15.00m
Arsenal FCArray,Christian Nørgaard,In,31,Defensive Midfield,€11.00m,Left,Brentford FC,€11.60m
Arsenal FCArray,Kepa Arrizabalaga,In,30,Goalkeeper,€10.00m,Left,Chelsea FC,€5.80m
Arsenal FCArray,Piero Hincapié,In,23,Centre-Back,€50.00m,Left,Bayer 04 Leverkusen,loan transfer
Arsenal FCArray,Fábio Vieira,In,25,Attacking Midfield,€22.00m,Left,FC Porto,"End of loan Jun 30, 2025"
Arsenal FCArray,Max Dowman,In,15,Right Winger,-,Left,Arsenal FC U18,-
Arsenal FCArray,Marquinhos,In,22,Right Winger,€5.50m,Left,Cruzeiro Esporte Clube,"End of loan Jun 30, 2025"
Arsenal FCArray,Reiss Nelson,In,25,Left Winger,€16.00m,Left,Fulham FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Karl Hein,In,23,Goalkeeper,€3.00m,Left,Real Valladolid CF,"End of loan Jun 30, 2025"
Arsenal FCArray,Nuno Tavares,In,25,Left-Back,€25.00m,Left,SS Lazio,"End of loan Jun 30, 2025"
Arsenal FCArray,Albert Sambi Lokonga,In,25,Central Midfield,€8.00m,Left,Sevilla FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Nuno Tavares,Out,25,Left-Back,€25.00m,Joined,SS Lazio,€5.00m
Arsenal FCArray,Marquinhos,Out,22,Right Winger,€5.50m,Joined,Cruzeiro Esporte Clube,€3.00m
Arsenal FCArray,Jakub Kiwior,Out,25,Centre-Back,€28.00m,Joined,FC Porto,Loan fee: €2.00m
Arsenal FCArray,Albert Sambi Lokonga,Out,25,Central Midfield,€8.00m,Joined,Hamburger SV,€300k
Arsenal FCArray,Kieran Tierney,Out,28,Left-Back,€9.00m,Joined,Celtic FC,free transfer
Arsenal FCArray,Jorginho,Out,33,Defensive Midfield,€6.00m,Joined,CR Flamengo,free transfer
Arsenal FCArray,Thomas Partey,Out,32,Defensive Midfield,€14.00m,Joined,Villarreal CF,free transfer
Arsenal FCArray,Reiss Nelson,Out,25,Left Winger,€16.00m,Joined,Brentford FC,loan transfer
Arsenal FCArray,Karl Hein,Out,23,Goalkeeper,€3.00m,Joined,SV Werder Bremen,loan transfer
Arsenal FCArray,Fábio Vieira,Out,25,Attacking Midfield,€22.00m,Joined,Hamburger SV,loan transfer
Arsenal FCArray,Oleksandr Zinchenko,Out,28,Left-Back,€20.00m,Joined,Nottingham Forest,loan transfer
Arsenal FCArray,Takehiro Tomiyasu,Out,26,Centre-Back,€18.00m,Joined,Without Club,-
Arsenal FCArray,Raheem Sterling,Out,30,Right Winger,€10.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Arsenal FCArray,Neto,Out,35,Goalkeeper,€1.50m,Joined,AFC Bournemouth,"End of loan Jun 30, 2025"
Aston VillaArray,Evann Guessand,In,24,Centre-Forward,€25.00m,Left,OGC Nice,€30.00m
Aston VillaArray,Marco Bizot,In,34,Goalkeeper,€3.00m,Left,Stade Brestois 29,€500k
Aston VillaArray,Victor Lindelöf,In,31,Centre-Back,€8.00m,Left,Manchester United,free transfer
Aston VillaArray,Jadon Sancho,In,25,Left Winger,€28.00m,Left,Manchester United,loan transfer
Aston VillaArray,Harvey Elliott,In,22,Attacking Midfield,€30.00m,Left,Liverpool FC,loan transfer
Aston VillaArray,Oliwier Zych,In,21,Goalkeeper,€800k,Left,Aston Villa U21,-
Aston VillaArray,Philippe Coutinho,In,33,Attacking Midfield,€4.50m,Left,Clube de Regatas Vasco da Gama,"End of loan Jun 30, 2025"
Aston VillaArray,Samuel Iling-Junior,In,21,Left Winger,€10.00m,Left,Middlesbrough FC,"End of loan Jun 30, 2025"
Aston VillaArray,Joe Gauci,In,24,Goalkeeper,€1.50m,Left,Barnsley FC,"End of loan Jun 30, 2025"
Aston VillaArray,Emiliano Buendía,In,28,Attacking Midfield,€15.00m,Left,Bayer 04 Leverkusen,"End of loan Jun 30, 2025"
Aston VillaArray,Lewis Dobbin,In,22,Left Winger,€2.50m,Left,Norwich City,"End of loan Jun 30, 2025"
Aston VillaArray,Lewis Dobbin,In,23,Left Winger,€2.50m,Left,Preston North End,"End of loan May 31, 2026"
Aston VillaArray,Leander Dendoncker,In,30,Defensive Midfield,€4.50m,Left,RSC Anderlecht,"End of loan Jun 30, 2025"
Aston VillaArray,Enzo Barrenechea,In,24,Defensive Midfield,€10.00m,Left,Valencia CF,"End of loan Jun 30, 2025"
Aston VillaArray,Álex Moreno,In,32,Left-Back,€7.00m,Left,Nottingham Forest,"End of loan Jun 30, 2025"
Aston VillaArray,Kaine Kesler-Hayden,In,22,Right-Back,€2.50m,Left,Preston North End,"End of loan Jun 30, 2025"
Aston VillaArray,Filip Marschall,In,22,Goalkeeper,€800k,Left,Crewe Alexandra,"End of loan Jun 30, 2025"
Aston VillaArray,Jacob Ramsey,Out,24,Central Midfield,€32.00m,Joined,Newcastle United,€45.15m
Aston VillaArray,Kaine Kesler-Hayden,Out,22,Right-Back,€2.50m,Joined,Coventry City,€4.00m
Aston VillaArray,Leon Bailey,Out,28,Right Winger,€28.00m,Joined,AS Roma,Loan fee: €3.00m
Aston VillaArray,Enzo Barrenechea,Out,24,Defensive Midfield,€10.00m,Joined,SL Benfica,Loan fee: €3.00m
Aston VillaArray,Philippe Coutinho,Out,33,Attacking Midfield,€4.50m,Joined,Clube de Regatas Vasco da Gama,free transfer
Aston VillaArray,Álex Moreno,Out,32,Left-Back,€7.00m,Joined,Girona FC,free transfer
Aston VillaArray,Leander Dendoncker,Out,30,Defensive Midfield,€4.50m,Joined,Real Oviedo,free transfer
Aston VillaArray,Robin Olsen,Out,35,Goalkeeper,€1.00m,Joined,Malmö FF,free transfer
Aston VillaArray,Lewis Dobbin,Out,22,Left Winger,€2.50m,Joined,Preston North End,loan transfer
Aston VillaArray,Filip Marschall,Out,22,Goalkeeper,€800k,Joined,Stevenage FC,?
Aston VillaArray,Oliwier Zych,Out,21,Goalkeeper,€800k,Joined,Raków Częstochowa,loan transfer
Aston VillaArray,Joe Gauci,Out,25,Goalkeeper,€1.50m,Joined,Port Vale FC,loan transfer
Aston VillaArray,Samuel Iling-Junior,Out,21,Left Winger,€10.00m,Joined,West Bromwich Albion,loan transfer
Aston VillaArray,Kortney Hause,Out,29,Centre-Back,€1.00m,Joined,Without Club,-
Aston VillaArray,Axel Disasi,Out,27,Centre-Back,€22.00m,Joined,Chelsea FC,"End of loan Jun 30, 2025"
Aston VillaArray,Marco Asensio,Out,29,Attacking Midfield,€20.00m,Joined,Paris Saint-Germain,"End of loan Jun 30, 2025"
Aston VillaArray,Marcus Rashford,Out,27,Left Winger,€50.00m,Joined,Manchester United,"End of loan Jun 30, 2025"
AFC BournemouthArray,Bafodé Diakité,In,24,Centre-Back,€28.00m,Left,LOSC Lille,€35.00m
AFC BournemouthArray,Djordje Petrovic,In,25,Goalkeeper,€20.00m,Left,Chelsea FC,€28.90m
AFC BournemouthArray,Ben Doak,In,19,Right Winger,€14.00m,Left,Liverpool FC,€23.20m
AFC BournemouthArray,Amine Adli,In,25,Left Winger,€18.00m,Left,Bayer 04 Leverkusen,€21.00m
AFC BournemouthArray,Veljko Milosavljevic,In,18,Centre-Back,€1.00m,Left,Red Star Belgrade,€15.00m
AFC BournemouthArray,Adrien Truffert,In,23,Left-Back,€15.00m,Left,Stade Rennais FC,€13.50m
AFC BournemouthArray,Álex Jiménez,In,20,Right-Back,€15.00m,Left,AC Milan,Loan fee: €1.50m
AFC BournemouthArray,Callan McKenna,In,18,Goalkeeper,€600k,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Owen Bevan,In,21,Centre-Back,-,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Ben Winterburn,In,20,Defensive Midfield,€500k,Left,AFC Bournemouth U21,-
AFC BournemouthArray,Joe Rothwell,In,30,Central Midfield,€1.80m,Left,Leeds United,"End of loan Jun 30, 2025"
AFC BournemouthArray,Alex Paulsen,In,22,Goalkeeper,€750k,Left,Auckland FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Ben Winterburn,In,21,Defensive Midfield,€500k,Left,Barnet FC,"End of loan May 31, 2026"
AFC BournemouthArray,Romain Faivre,In,26,Attacking Midfield,€6.00m,Left,Stade Brestois 29,"End of loan Jun 30, 2025"
AFC BournemouthArray,Hamed Traoré,In,25,Left Winger,€20.00m,Left,AJ Auxerre,"End of loan Jun 30, 2025"
AFC BournemouthArray,Jaidon Anthony,In,25,Left Winger,€9.00m,Left,Burnley FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Neto,In,35,Goalkeeper,€1.50m,Left,Arsenal FC,"End of loan Jun 30, 2025"
AFC BournemouthArray,Philip Billing,In,29,Central Midfield,€10.00m,Left,SSC Napoli,"End of loan Jun 30, 2025"
AFC BournemouthArray,Max Aarons,In,25,Right-Back,€6.00m,Left,Valencia CF,"End of loan Jun 30, 2025"
AFC BournemouthArray,Eli Kroupi,In,19,Centre-Forward,€15.00m,Left,FC Lorient,"End of loan Jun 30, 2025"
AFC BournemouthArray,Ilya Zabarnyi,Out,22,Centre-Back,€42.00m,Joined,Paris Saint-Germain,€63.00m
AFC BournemouthArray,Dean Huijsen,Out,20,Centre-Back,€60.00m,Joined,Real Madrid,€62.50m
AFC BournemouthArray,Milos Kerkez,Out,21,Left-Back,€45.00m,Joined,Liverpool FC,€46.90m
AFC BournemouthArray,Dango Ouattara,Out,23,Left Winger,€28.00m,Joined,Brentford FC,€42.80m
AFC BournemouthArray,Jaidon Anthony,Out,25,Left Winger,€9.00m,Joined,Burnley FC,€9.50m
AFC BournemouthArray,Philip Billing,Out,29,Central Midfield,€10.00m,Joined,FC Midtjylland,€5.00m
AFC BournemouthArray,Mark Travers,Out,26,Goalkeeper,€4.00m,Joined,Everton FC,€4.60m
AFC BournemouthArray,Luis Sinisterra,Out,26,Left Winger,€15.00m,Joined,Cruzeiro Esporte Clube,Loan fee: €2.50m
AFC BournemouthArray,Chris Mepham,Out,27,Centre-Back,€6.00m,Joined,West Bromwich Albion,€1.15m
AFC BournemouthArray,Joe Rothwell,Out,30,Central Midfield,€1.80m,Joined,Rangers FC,€460k
AFC BournemouthArray,Neto,Out,36,Goalkeeper,€1.50m,Joined,Botafogo de Futebol e Regatas,free transfer
AFC BournemouthArray,Romain Faivre,Out,27,Attacking Midfield,€6.00m,Joined,Al-Taawoun FC,loan transfer
AFC BournemouthArray,Alex Paulsen,Out,23,Goalkeeper,€750k,Joined,Lechia Gdansk,loan transfer
AFC BournemouthArray,Hamed Traoré,Out,25,Left Winger,€20.00m,Joined,Olympique Marseille,loan transfer
