team_slug,club_goals,club_tacklesWon,club_blocks,club_totalPasses,tps_p_goals,tps_p_assists,tps_p_totalPasses,tps_p_cleanSheets,ply_sum_rank,ply_sum_value,ply_mean_rank,ply_mean_value,mv_Rank,mv_ValueAug1EUR,mv_CurrentValueEUR,mv_ChangePct,mv_Arrivals,mv_Departures,mvply_sum,mvply_mean,mvply_count,mgr_TenureDays,prev_rank,prev_pts,trf_arrivals,trf_spend_in,trf_departures,trf_spend_out,trf_net_spend
arsenal,6.0,0.0,14.0,1264.0,2.0,2.0,0.0,2.0,,,,,1.0,1320000000.0,1330000000.0,0.6,15.0,14.0,1150000000.0,67647058.8235294,17.0,2089.0,2.0,44.0,,,,,
aston villa,0.0,0.0,11.0,1428.0,0.0,0.0,0.0,1.0,,,,,9.0,565000000.0,547000000.0,-3.2,17.0,17.0,223000000.0,44600000.0,5.0,1040.0,6.0,38.0,,,,,
bournemouth,4.0,34.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,13.0,420450000.0,383000000.0,-8.9,20.0,18.0,40000000.0,40000000.0,1.0,802.0,11.0,32.0,,,,,
brentford,0.0,28.0,13.0,0.0,2.0,0.0,0.0,0.0,,,,,12.0,386700000.0,392200000.0,1.4,15.0,12.0,,,,75.0,10.0,35.0,,,,,
brighton,0.0,30.0,0.0,0.0,0.0,0.0,441.0,0.0,,,,,,,,,,,,,,,,,,,,,
brighton and hove albion,,,,,,,,,,,,,10.0,576600000.0,462100000.0,-19.9,23.0,22.0,80000000.0,40000000.0,2.0,452.0,7.0,38.0,,,,,
burnley,4.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,,,,,20.0,235900000.0,226150000.0,-4.1,24.0,21.0,,,,432.0,23.0,3.0,,,,,
chelsea,7.0,0.0,10.0,1639.0,4.0,3.0,403.0,2.0,,,,,4.0,1170000000.0,1080000000.0,-7.4,26.0,23.0,675000000.0,61363636.36363637,11.0,464.0,4.0,41.0,,,,,
crystal palace,4.0,40.0,12.0,0.0,0.0,0.0,0.0,2.0,,,,,11.0,456200000.0,432200000.0,-5.3,16.0,13.0,90000000.0,45000000.0,2.0,568.0,5.0,38.0,,,,,
everton,5.0,31.0,18.0,0.0,2.0,4.0,0.0,0.0,,,,,15.0,340200000.0,368600000.0,8.3,18.0,18.0,50000000.0,50000000.0,1.0,242.0,8.0,37.0,,,,,
fulham,,,,,,,,,,,,,16.0,331600000.0,337500000.0,1.8,5.0,7.0,,,,1532.0,13.0,27.0,,,,,
ipswich,,,,,,,,,,,,,,,,,,,,,,,19.0,7.0,,,,,
joined,,,,,,,,,,,,,,,,,,,,,,,,,311.0,3754500000.0,311.0,3754500000.0,0.0
leeds,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,
leeds united,,,,,,,,,,,,,18.0,272300000.0,296300000.0,8.8,16.0,14.0,,,,799.0,22.0,4.0,,,,,
left,,,,,,,,,,,,,,,,,,,,,,,,,333.0,4707725000.0,333.0,4707725000.0,0.0
leicester city,,,,,,,,,,,,,,,,,,,,,,,18.0,11.0,,,,,
liverpool,8.0,30.0,13.0,1370.0,2.0,3.0,217.0,0.0,,,,,3.0,1040000000.0,1120000000.0,8.1,15.0,12.0,910000000.0,75833333.33333333,12.0,466.0,1.0,48.0,,,,,
man united,0.0,31.0,0.0,1380.0,,,,,,,,,,,,,,,,,,,,,,,,,
manchester city,5.0,0.0,0.0,1653.0,3.0,0.0,214.0,0.0,,,,,2.0,1320000000.0,1230000000.0,-6.8,16.0,16.0,1038000000.0,64875000.0,16.0,3358.0,3.0,43.0,,,,,
manchester united,,,,,,,,,,,,,6.0,892200000.0,748200000.0,-16.1,13.0,12.0,508000000.0,50800000.0,10.0,303.0,15.0,24.0,,,,,
newcastle,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,
newcastle united,,,,,,,,,,,,,7.0,689900000.0,659050000.0,-4.5,12.0,11.0,329000000.0,54833333.333333336,6.0,1402.0,9.0,36.0,,,,,
nott m forest,0.0,0.0,0.0,1472.0,2.0,0.0,448.0,0.0,,,,,,,,,,,,,,,,,,,,,
nottingham forest,,,,,,,,,,,,,8.0,446000000.0,581000000.0,30.3,22.0,19.0,140000000.0,46666666.666666664,3.0,630.0,12.0,32.0,,,,,
p assists,,,,,,,,,39.0,18.0,3.9,1.8,,,,,,,,,,,,,,,,,
p cleansheets,,,,,,,,,31.0,17.0,3.1,1.7,,,,,,,,,,,,,,,,,
p goals,,,,,,,,,19.0,21.0,1.9,2.1,,,,,,,,,,,,,,,,,
p totalpasses,,,,,,,,,55.0,2134.0,5.5,213.4,,,,,,,,,,,,,,,,,
southampton,,,,,,,,,,,,,,,,,,,,,,,21.0,6.0,,,,,
sunderland,5.0,0.0,0.0,1358.0,0.0,2.0,212.0,1.0,,,,,,,,,,,,,,436.0,,,,,,,
sunderland afc,,,,,,,,,,,,,19.0,251200000.0,290000000.0,15.4,25.0,16.0,,,,,20.0,6.0,,,,,
tottenham,5.0,33.0,10.0,1319.0,0.0,2.0,199.0,2.0,,,,,,,,,,,,,,,,,,,,,
tottenham hotspur,,,,,,,,,,,,,5.0,832100000.0,891100000.0,7.1,15.0,15.0,541000000.0,45083333.333333336,12.0,90.0,17.0,20.0,,,,,
west ham,0.0,0.0,0.0,1327.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
west ham united,,,,,,,,,,,,,14.0,386650000.0,371700000.0,-3.9,20.0,17.0,40000000.0,40000000.0,1.0,244.0,16.0,23.0,,,,,
wolverhampton wanderers,0.0,44.0,13.0,0.0,,,,,,,,,17.0,319000000.0,327800000.0,2.8,13.0,19.0,40000000.0,40000000.0,1.0,265.0,14.0,26.0,,,,,
